metric,value,real,fake,net
fid,6.155987025809061,image_folder_1024x1024_normalized_log_transform_193A_40K_with_lev1.5_corrections,diffusion_1000steps_train_250_steps_inference_54Ktraining_no_random_flip,vicreg_rn50_solar_v2
fid,25.43853104305751,image_folder_1024x1024_normalized_log_transform_193A_40K_with_lev1.5_corrections,diffusion_250steps_train_50_steps_inference_58Ktraining,inception_v3
fid,1.7402752415035518,image_folder_1024x1024_normalized_log_transform_193A_40K_with_lev1.5_corrections,diffusion_1000steps_train_250_steps_inference_78Ktraining_no_random_flip_dropout0.3,mae_vitb16
fid,0.0173434671206677,image_folder_1024x1024_normalized_log_transform_193A_40K_with_lev1.5_corrections,augmentations_off,random_inception_v3
fid,7.0787519569827,"image_folder_1024x1024_normalized_log_transform_193A_40K_with_lev1.5_corrections-CROPPED299CS_0.1,1_CR_1,1","discriminator_1-CROPPED299CS_0.1,1_CR_1,1",inception_v3
fid,1.36880432889933,image_folder_1024x1024_normalized_log_transform_193A_40K_with_lev1.5_corrections-CROPPED64,"discriminator_1,2-CROPPED64",inception_v3
fid,506.1247984944477,image_folder_1024x1024_normalized_log_transform_193A_40K_with_lev1.5_corrections,discriminator_1,mae_solar_vitb16_v2
fid,1.5084965881297876,image_folder_1024x1024_normalized_log_transform_193A_40K_with_lev1.5_corrections-CROPPED128,no_cross_scale_mixing-CROPPED128,inception_v3
fid,0.9812269279192214,image_folder_1024x1024_normalized_log_transform_193A_40K_with_lev1.5_corrections,diffusion_1000steps_train_250_steps_inference_58Ktraining_small_unet,mae_vitb16
fid,2.3677522994080675,image_folder_1024x1024_normalized_log_transform_193A_40K_with_lev1.5_corrections,full_projectedgan,inception_v3
fid,160.18329400114357,"image_folder_1024x1024_normalized_log_transform_193A_40K_with_lev1.5_corrections-CROPPED299CS_0.1,1_CR_1,1","unfreeze_feature_network-CROPPED299CS_0.1,1_CR_1,1",
fid,0.1683718542031245,image_folder_1024x1024_normalized_log_transform_193A_40K_with_lev1.5_corrections,full_projectedgan_baseline,mae_vitb16
fid,8.330023269328905,image_folder_1024x1024_normalized_log_transform_193A_40K_with_lev1.5_corrections,efficientnet-lite1,vicreg_rn50_inet
fid,7.217481691890811,image_folder_1024x1024_normalized_log_transform_193A_40K_with_lev1.5_corrections,trainable_projections,inception_v3
fid,0.0070320298232094,image_folder_1024x1024_normalized_log_transform_193A_40K_with_lev1.5_corrections-CROPPED256,diffusion_1000steps_train_250_steps_inference_58Ktraining-CROPPED256,mae_solar_vitb16
fid,24.58826043921107,"image_folder_1024x1024_normalized_log_transform_193A_40K_with_lev1.5_corrections-CROPPED299CS_0.1,1_CR_1,1","randomly_initialized_feature_network-CROPPED299CS_0.1,1_CR_1,1",inception_v3
fid,852.7519886383355,image_folder_1024x1024_normalized_log_transform_193A_40K_with_lev1.5_corrections,randomly_initialized_feature_network_unfrozen,mae_solar_vitb16_v2
fid,0.1244020373763399,image_folder_1024x1024_normalized_log_transform_193A_40K_with_lev1.5_corrections,efficientnet-lite3,mae_vitb16
fid,1719.898682073749,image_folder_1024x1024_normalized_log_transform_193A_40K_with_lev1.5_corrections,randomly_initialized_feature_network_unfrozen,vicreg_rn50_solar_v2
fid,0.0108092956095544,image_folder_1024x1024_normalized_log_transform_193A_40K_with_lev1.5_corrections,augmentations_off,clip_rn50
fid,5.033498872950588,image_folder_1024x1024_normalized_log_transform_193A_40K_with_lev1.5_corrections,augmentations_off,vicreg_rn50_inet
fid,0.0263452777286195,image_folder_1024x1024_normalized_log_transform_193A_40K_with_lev1.5_corrections,"discriminator_1,2",clip_rn50
fid,2.631654900402125e-05,image_folder_1024x1024_normalized_log_transform_193A_40K_with_lev1.5_corrections-CROPPED128,augmentations_off-CROPPED128,mae_solar_vitb16
fid,1.623087614489748,image_folder_1024x1024_normalized_log_transform_193A_40K_with_lev1.5_corrections-CROPPED256,augmentations_off-CROPPED256,
fid,187.7969913055396,image_folder_1024x1024_normalized_log_transform_193A_40K_with_lev1.5_corrections-CROPPED256,randomly_initialized_feature_network_unfrozen-CROPPED256,
fid,4.000306227338228,image_folder_1024x1024_normalized_log_transform_193A_40K_with_lev1.5_corrections-CROPPED256,discriminator_1-CROPPED256,inception_v3
